"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"U1203,U1202,U1201";"PG-DSO-14-40";3;"BTT6030-2EKA";;;
2;"U1301,U201";"PG-DSO-14-47";2;"BTT6010-1EKB";;;
3;"U1603";"TDFN-8-1EP_3x2mm_P0.5mm_EP1.80x1.65mm_ThermalVias";1;"MCP1663";;;
4;"U1604";"SC70-5";1;"LMS33460";;;
5;"J1501";"Phoenix_1432457_M12_4pin_D_Female_Angled";1;"Phoenix_1432457";;;
6;"J201";"Phoenix_1437009_M12_8pin_A_Female_Angled";1;"Phoenix_1437009";;;
7;"T1501";"Wurth_7490100111A";1;"Wurth_7490100111A";;;
8;"Y1001";"Crystal_SMD_Fox_FK161";1;"32.768 kHz";;;
9;"F1202";"LittelfuseMiniBlade01530008Z";1;"15A";;;
10;"F1201";"LittelfuseMiniBlade01530008Z";1;"10A";;;
11;"F901";"LittelfuseMiniBlade01530008Z";1;"2A";;;
12;"R1134,R1145,R1179,R1172,R1169,R1162,R1159,R1151,R1118,R1107";"R_0603_1608Metric";10;"147 R";;;
13;"C1119,C1131,C1128,C1125,C1103";"C_0603_1608Metric";5;"14.7 nF";;;
14;"R105,R104,R103";"R_0603_1608Metric";3;"33";;;
15;"R504,R503,R502";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";3;"R";;;
16;"J502,J501";"U.FL_Hirose_U.FL-R-SMT-1_Vertical";2;"Conn_Coaxial";;;
17;"AE1";"Texas_SWRA117D_2.4GHz_Right";1;"Antenna_Shield";;;
18;"REF**";"Fibox_255x180x63mm_enclosure_shadow";1;"Fibox_255x180x63mm_enclosure";;;
19;"G***,G***";"VikingsText_Silk_37x7mm";2;"LOGO";;;
20;"G***";"VikingLogo_Silk_27x30mm";1;"LOGO";;;
21;"F1203";"Littlefuse_Nano_Clip";1;"2A";;;
22;"J1401";"Molex_528850274";1;"Molex_52885-0274";;;
23;"REF**,REF**,REF**,REF**,REF**";"MountingHole_3.2mm_M3_Pad";5;"MountingHole_3.2mm_M3_Pad";;;
24;"REF**";"MountingHole_4.3mm_M4_Pad";1;"MountingHole_4.3mm_M4_Pad";;;
25;"G***";"VikingLogo_Silk_18x20mm";1;"LOGO";;;
26;"U1701";"PicoZed_7010-7020_Complete";1;"PicoZed_7020";;;
27;"G***";"VikingLogo_Silk_9x10mm";1;"LOGO";;;
28;"F201,F1606";"Littlefuse_Nano_Clip";2;"1A";;;
29;"F1604,F1301,F1302";"Littlefuse_Nano_Clip";3;"375 mA";;;
30;"L1601";"Wurth_LQS_4018";1;"4.7u";;;
31;"D1704,D1701,D1304,D1303,D1302,D501";"Wurth_150060SS75000";6;"150060SS75000";;;
32;"D1703,LED901,LED902,LED903,LED904,LED905,LED906,LED907,LED908,LED909,LED910,LED911";"Wurth_150060BS75000";12;"150060BS75000";;;
33;"D1705,D1702,D1502,D202";"Wurth_150060VS75000";4;"150060VS75000";;;
34;"LED1701,D1501,D201";"Wurth_150060YS75000";3;"150060YS75000";;;
35;"C1307,C1308,C1306,C1511,C1510,C1302,C1301,C1206,C1202,C1114,C1110,C1108,C1107,C1002,C705,C704,C703,C702,C701,C501,C401,C305,C304,C303,C302,C301,C202,C201,C1617,C1204";"C_0603_1608Metric";30;"100 nF";;;
36;"U1302";"KSZ8081MNX";1;"KSZ8081MNX";;;
37;"R1327,R1322,R1314,R1316,R1303,R1219,R1218,R1216,R1215,R1213,R1212,R1211,R1210,R1205,R1204,R1203,R1202,R207,R1312,R1326";"R_0603_1608Metric";20;"4.7k";;;
38;"R1323,R1321,R1317,R1315,R1713,R1609,R1606,R1605,R1318,R1319,R1325,R1324,R1178,R1168,R1158,R1142,R1140,R1130,R1115,R1113,R1103,R1320";"R_0603_1608Metric";22;"1k";;;
39;"R1313";"R_0603_1608Metric";1;"6.49k";;;
40;"C1309";"C_0603_1608Metric";1;"22 µF";;;
41;"C1305,C1303";"C_1206_3216Metric";2;"22 µF";;;
42;"C1304,C707,C706";"C_0603_1608Metric";3;"2.2 µF";;;
43;"T201";"Wurth_7490120110";1;"Wurth_7490120110";;;
44;"J302";"Amphenol_10118194-0001LF";1;"10118194-0001LF";;;
45;"U1501,U502";"MIC826TYMT-TR";2;"MIC826TYMT-TR";;;
46;"J401";"Molex-47219-2001-0";1;"Molex 47219-2001";;;
47;"FL401";"uQFN-16L";1;"EMIF06-MSD02N16";;;
48;"R1174,R1173,R1164,R1163,R1153,R1152,R1136,R1135,R1109,R1108";"R_0603_1608Metric";10;"8.66k";;;
49;"R1165,R1175,R1154,R1139,R1112";"R_0603_1608Metric";5;"11k";;;
50;"R1161,R1171,R1150,R1137,R1133,R1128,R1110,R1106";"R_0603_1608Metric";8;"4.02k";;;
