time,value
8.0004498E+00,1.41309E+00
8.0006331E+00,1.38379E+00
8.0008164E+00,1.35449E+00
8.0009997E+00,1.39355E+00
8.0011830E+00,1.38379E+00
8.0013663E+00,1.36426E+00
8.0015496E+00,1.37402E+00
8.0017329E+00,1.39355E+00
8.0019162E+00,1.39355E+00
8.0020995E+00,1.37402E+00
8.0022828E+00,1.42285E+00
8.0024661E+00,1.38379E+00
8.0026494E+00,1.40332E+00
8.0028327E+00,1.41309E+00
8.0030160E+00,1.35449E+00
8.0031993E+00,1.39355E+00
8.0033826E+00,1.38379E+00
8.0035659E+00,1.38379E+00
8.0037492E+00,1.36426E+00
8.0039325E+00,1.36426E+00
8.0041158E+00,1.33496E+00
8.0042991E+00,1.33496E+00
8.0044824E+00,1.38379E+00
8.0046657E+00,1.30566E+00
8.0048490E+00,1.37402E+00
8.0050323E+00,1.34473E+00
8.0052156E+00,1.40332E+00
8.0053989E+00,1.43262E+00
8.0055822E+00,1.39355E+00
8.0057655E+00,1.38379E+00
8.0059488E+00,1.30566E+00
8.0061321E+00,1.41309E+00
8.0063154E+00,1.43262E+00
8.0064987E+00,1.36426E+00
8.0066820E+00,1.34473E+00
8.0068653E+00,1.42285E+00
8.0070486E+00,1.38379E+00
8.0072319E+00,1.42285E+00
8.0074152E+00,1.42285E+00
8.0075985E+00,1.35449E+00
8.0077818E+00,1.41309E+00
8.0079651E+00,1.36426E+00
8.0081484E+00,1.34473E+00
8.0083317E+00,1.38379E+00
8.0085150E+00,1.31543E+00
8.0086983E+00,1.41309E+00
8.0088816E+00,1.42285E+00
8.0090649E+00,1.34473E+00
8.0092482E+00,1.40332E+00
8.0094315E+00,1.36426E+00
8.0096148E+00,1.40332E+00
8.0097981E+00,1.35449E+00
8.0099814E+00,1.39355E+00
8.0101647E+00,1.43262E+00
8.0103480E+00,1.36426E+00
8.0105313E+00,1.32520E+00
8.0107146E+00,1.38379E+00
8.0108979E+00,1.38379E+00
8.0110812E+00,1.39355E+00
8.0112645E+00,1.40332E+00
8.0114478E+00,1.35449E+00
8.0116311E+00,1.41309E+00
8.0118144E+00,1.38379E+00
8.0119977E+00,1.34473E+00
8.0121810E+00,1.38379E+00
8.0123643E+00,1.38379E+00
8.0125476E+00,1.44238E+00
8.0127309E+00,1.34473E+00
8.0129142E+00,1.33496E+00
8.0130975E+00,1.35449E+00
8.0132808E+00,1.35449E+00
8.0134641E+00,1.33496E+00
8.0136474E+00,1.41309E+00
8.0138307E+00,1.36426E+00
8.0140140E+00,1.35449E+00
8.0141973E+00,1.46191E+00
8.0143806E+00,1.28613E+00
8.0145639E+00,1.35449E+00
8.0147472E+00,1.47168E+00
8.0149305E+00,1.36426E+00
8.0151138E+00,1.38379E+00
8.0152971E+00,1.32520E+00
8.0154804E+00,1.43262E+00
8.0156637E+00,1.38379E+00
8.0158470E+00,1.37402E+00
8.0160303E+00,1.37402E+00
8.0162136E+00,1.30566E+00
8.0163969E+00,1.42285E+00
8.0165802E+00,1.39355E+00
8.0167635E+00,1.41309E+00
8.0169468E+00,1.27637E+00
8.0171301E+00,1.36426E+00
8.0173134E+00,1.40332E+00
8.0174967E+00,1.36426E+00
8.0176800E+00,1.45215E+00
8.0178633E+00,1.39355E+00
8.0180466E+00,1.40332E+00
8.0182299E+00,1.42285E+00
8.0184132E+00,1.44238E+00
8.0185965E+00,1.31543E+00
8.0187798E+00,1.37402E+00
8.0189631E+00,1.32520E+00
8.0191464E+00,1.36426E+00
8.0193297E+00,1.40332E+00
8.0195130E+00,1.36426E+00
8.0196963E+00,1.40332E+00
8.0198796E+00,1.38379E+00
8.0200629E+00,1.29590E+00
8.0202462E+00,1.38379E+00
8.0204295E+00,1.37402E+00
8.0206128E+00,1.34473E+00
8.0207961E+00,1.38379E+00
8.0209794E+00,1.37402E+00
8.0211627E+00,1.36426E+00
8.0213460E+00,1.36426E+00
8.0215293E+00,1.45215E+00
8.0217126E+00,1.41309E+00
8.0218959E+00,1.36426E+00
8.0220792E+00,1.30566E+00
8.0222625E+00,1.39355E+00
8.0224458E+00,1.39355E+00
8.0226291E+00,1.37402E+00
8.0228124E+00,1.43262E+00
8.0229957E+00,1.38379E+00
8.0231790E+00,1.40332E+00
8.0233623E+00,1.36426E+00
8.0235456E+00,1.35449E+00
8.0237289E+00,1.36426E+00
8.0239122E+00,1.40332E+00
8.0240955E+00,1.39355E+00
8.0242788E+00,1.36426E+00
8.0244621E+00,1.40332E+00
8.0246454E+00,1.46191E+00
8.0248287E+00,1.41309E+00
8.0250120E+00,1.40332E+00
8.0251953E+00,1.45215E+00
8.0253786E+00,1.38379E+00
8.0255619E+00,1.37402E+00
8.0257452E+00,1.44238E+00
8.0259285E+00,1.34473E+00
8.0261118E+00,1.39355E+00
8.0262951E+00,1.35449E+00
8.0264784E+00,1.41309E+00
8.0266617E+00,1.37402E+00
8.0268450E+00,1.41309E+00
8.0270283E+00,1.38379E+00
8.0272116E+00,1.34473E+00
8.0273949E+00,1.34473E+00
8.0275782E+00,1.38379E+00
8.0277615E+00,1.36426E+00
8.0279448E+00,1.43262E+00
8.0281281E+00,1.39355E+00
8.0283114E+00,1.39355E+00
8.0284947E+00,1.40332E+00
8.0286780E+00,1.35449E+00
8.0288613E+00,1.30566E+00
8.0290446E+00,1.35449E+00
8.0292279E+00,1.38379E+00
8.0294112E+00,1.46191E+00
8.0295945E+00,1.38379E+00
8.0297778E+00,1.42285E+00
8.0299611E+00,1.34473E+00
8.0301444E+00,1.35449E+00
8.0303277E+00,1.42285E+00
8.0305110E+00,1.32520E+00
8.0306943E+00,1.36426E+00
8.0308776E+00,1.37402E+00
8.0310609E+00,1.31543E+00
8.0312442E+00,1.33496E+00
8.0314275E+00,1.39355E+00
8.0316108E+00,1.34473E+00
