time,C2
-1.1399486E+01,8.74023E-01
-1.1399302E+01,8.81836E-01
-1.1399119E+01,8.81836E-01
-1.1398935E+01,8.70117E-01
-1.1398751E+01,8.62305E-01
-1.1398568E+01,8.68164E-01
-1.1398384E+01,8.68164E-01
-1.1398201E+01,8.75977E-01
-1.1398017E+01,8.70117E-01
-1.1397833E+01,8.72070E-01
-1.1397650E+01,8.77930E-01
-1.1397466E+01,8.70117E-01
-1.1397283E+01,8.70117E-01
-1.1397099E+01,8.74023E-01
-1.1396915E+01,8.83789E-01
-1.1396732E+01,8.70117E-01
-1.1396548E+01,8.68164E-01
-1.1396365E+01,8.74023E-01
-1.1396181E+01,8.74023E-01
-1.1395997E+01,8.93555E-01
-1.1395814E+01,8.81836E-01
-1.1395630E+01,8.75977E-01
-1.1395447E+01,8.62305E-01
-1.1395263E+01,8.83789E-01
-1.1395079E+01,8.89648E-01
-1.1394896E+01,8.68164E-01
-1.1394712E+01,8.81836E-01
-1.1394529E+01,8.74023E-01
-1.1394345E+01,8.74023E-01
-1.1394161E+01,8.74023E-01
-1.1393978E+01,8.72070E-01
-1.1393794E+01,8.79883E-01
-1.1393611E+01,8.74023E-01
-1.1393427E+01,8.72070E-01
-1.1393243E+01,8.74023E-01
-1.1393060E+01,8.77930E-01
-1.1392876E+01,8.70117E-01
-1.1392693E+01,8.77930E-01
-1.1392509E+01,8.77930E-01
-1.1392325E+01,8.85742E-01
-1.1392142E+01,9.01367E-01
-1.1391958E+01,8.83789E-01
-1.1391775E+01,8.89648E-01
-1.1391591E+01,8.75977E-01
-1.1391407E+01,8.70117E-01
-1.1391224E+01,8.93555E-01
-1.1391040E+01,8.81836E-01
-1.1390857E+01,8.70117E-01
-1.1390673E+01,8.79883E-01
-1.1390489E+01,8.83789E-01
-1.1390306E+01,8.83789E-01
-1.1390122E+01,8.83789E-01
-1.1389939E+01,8.81836E-01
-1.1389755E+01,8.74023E-01
-1.1389571E+01,8.81836E-01
-1.1389388E+01,8.75977E-01
-1.1389204E+01,8.85742E-01
-1.1389021E+01,8.83789E-01
-1.1388837E+01,8.81836E-01
-1.1388653E+01,8.83789E-01
-1.1388470E+01,8.83789E-01
-1.1388286E+01,8.89648E-01
-1.1388103E+01,8.77930E-01
-1.1387919E+01,8.74023E-01
-1.1387735E+01,8.77930E-01
-1.1387552E+01,8.87695E-01
-1.1387368E+01,8.83789E-01
-1.1387185E+01,8.95508E-01
-1.1387001E+01,8.85742E-01
-1.1386817E+01,8.93555E-01
-1.1386634E+01,8.93555E-01
-1.1386450E+01,8.91602E-01
-1.1386267E+01,8.81836E-01
-1.1386083E+01,8.89648E-01
-1.1385899E+01,8.75977E-01
-1.1385716E+01,8.81836E-01
-1.1385532E+01,8.91602E-01
-1.1385349E+01,8.81836E-01
-1.1385165E+01,8.97461E-01
-1.1384981E+01,8.91602E-01
-1.1384798E+01,8.95508E-01
-1.1384614E+01,8.79883E-01
-1.1384431E+01,8.91602E-01
-1.1384247E+01,8.89648E-01
-1.1384063E+01,9.01367E-01
-1.1383880E+01,8.85742E-01
-1.1383696E+01,8.79883E-01
-1.1383513E+01,8.87695E-01
-1.1383329E+01,8.95508E-01
-1.1383145E+01,9.03320E-01
-1.1382962E+01,8.81836E-01
-1.1382778E+01,8.97461E-01
-1.1382595E+01,8.89648E-01
-1.1382411E+01,8.89648E-01
-1.1382227E+01,8.85742E-01
-1.1382044E+01,8.91602E-01
-1.1381860E+01,8.83789E-01
-1.1381677E+01,8.81836E-01
-1.1381493E+01,8.87695E-01
-1.1381309E+01,8.77930E-01
-1.1381126E+01,9.05273E-01
-1.1380942E+01,8.95508E-01
-1.1380759E+01,9.05273E-01
-1.1380575E+01,8.95508E-01
-1.1380391E+01,8.99414E-01
-1.1380208E+01,8.99414E-01
-1.1380024E+01,8.91602E-01
-1.1379841E+01,8.85742E-01
-1.1379657E+01,9.01367E-01
-1.1379473E+01,8.99414E-01
-1.1379290E+01,8.87695E-01
-1.1379106E+01,8.99414E-01
-1.1378923E+01,9.01367E-01
-1.1378739E+01,8.95508E-01
-1.1378555E+01,8.89648E-01
-1.1378372E+01,9.05273E-01
-1.1378188E+01,8.91602E-01
-1.1378005E+01,8.95508E-01
-1.1377821E+01,8.97461E-01
-1.1377637E+01,8.91602E-01
-1.1377454E+01,9.07227E-01
-1.1377270E+01,8.97461E-01
-1.1377087E+01,8.89648E-01
-1.1376903E+01,8.91602E-01
-1.1376719E+01,8.95508E-01
-1.1376536E+01,8.91602E-01
-1.1376352E+01,9.09180E-01
-1.1376169E+01,8.95508E-01
-1.1375985E+01,9.13086E-01
-1.1375801E+01,9.03320E-01
-1.1375618E+01,8.93555E-01
-1.1375434E+01,9.05273E-01
-1.1375251E+01,8.89648E-01
-1.1375067E+01,8.99414E-01
-1.1374883E+01,9.09180E-01
-1.1374700E+01,9.18945E-01
-1.1374516E+01,8.99414E-01
-1.1374333E+01,9.09180E-01
-1.1374149E+01,9.01367E-01
-1.1373965E+01,9.11133E-01
-1.1373782E+01,8.93555E-01
-1.1373598E+01,9.07227E-01
-1.1373415E+01,9.07227E-01
-1.1373231E+01,9.15039E-01
-1.1373047E+01,8.99414E-01
-1.1372864E+01,9.03320E-01
-1.1372680E+01,9.09180E-01
-1.1372497E+01,9.13086E-01
-1.1372313E+01,8.97461E-01
-1.1372129E+01,8.95508E-01
-1.1371946E+01,9.15039E-01
-1.1371762E+01,9.05273E-01
-1.1371579E+01,9.07227E-01
-1.1371395E+01,9.11133E-01
-1.1371211E+01,9.15039E-01
-1.1371028E+01,8.95508E-01
-1.1370844E+01,9.07227E-01
-1.1370661E+01,9.05273E-01
-1.1370477E+01,9.07227E-01
-1.1370293E+01,9.11133E-01
-1.1370110E+01,9.07227E-01
-1.1369926E+01,9.05273E-01
-1.1369743E+01,8.97461E-01
-1.1369559E+01,9.09180E-01
-1.1369375E+01,9.20898E-01
-1.1369192E+01,8.83789E-01
-1.1369008E+01,9.09180E-01
-1.1368825E+01,9.11133E-01
-1.1368641E+01,9.11133E-01
-1.1368457E+01,9.05273E-01
-1.1368274E+01,9.05273E-01
-1.1368090E+01,8.97461E-01
-1.1367907E+01,9.03320E-01
-1.1367723E+01,9.09180E-01
-1.1367539E+01,9.11133E-01
-1.1367356E+01,9.09180E-01
-1.1367172E+01,9.15039E-01
-1.1366989E+01,9.18945E-01
-1.1366805E+01,9.15039E-01
-1.1366621E+01,9.15039E-01
-1.1366438E+01,9.07227E-01
-1.1366254E+01,9.16992E-01
-1.1366071E+01,8.97461E-01
-1.1365887E+01,9.13086E-01
-1.1365703E+01,9.15039E-01
-1.1365520E+01,9.26758E-01
-1.1365336E+01,9.13086E-01
-1.1365153E+01,8.97461E-01
-1.1364969E+01,9.05273E-01
-1.1364785E+01,9.22852E-01
-1.1364602E+01,9.09180E-01
-1.1364418E+01,9.09180E-01
-1.1364235E+01,9.20898E-01
-1.1364051E+01,9.28711E-01
-1.1363867E+01,9.15039E-01
-1.1363684E+01,9.15039E-01
-1.1363500E+01,9.05273E-01
-1.1363317E+01,9.22852E-01
-1.1363133E+01,9.20898E-01
-1.1362949E+01,9.15039E-01
-1.1362766E+01,9.16992E-01
-1.1362582E+01,9.18945E-01
-1.1362399E+01,9.09180E-01
-1.1362215E+01,9.13086E-01
-1.1362031E+01,9.24805E-01
-1.1361848E+01,9.18945E-01
-1.1361664E+01,9.22852E-01
-1.1361481E+01,9.20898E-01
-1.1361297E+01,9.22852E-01
-1.1361113E+01,9.13086E-01
-1.1360930E+01,9.16992E-01
-1.1360746E+01,9.32617E-01
-1.1360563E+01,9.13086E-01
-1.1360379E+01,9.15039E-01
-1.1360195E+01,9.16992E-01
-1.1360012E+01,9.15039E-01
-1.1359828E+01,9.15039E-01
-1.1359645E+01,9.15039E-01
-1.1359461E+01,9.13086E-01
-1.1359277E+01,9.24805E-01
-1.1359094E+01,9.13086E-01
-1.1358910E+01,9.18945E-01
-1.1358727E+01,9.18945E-01
-1.1358543E+01,9.09180E-01
-1.1358359E+01,9.20898E-01
-1.1358176E+01,9.15039E-01
-1.1357992E+01,9.18945E-01
-1.1357809E+01,9.24805E-01
-1.1357625E+01,9.26758E-01
-1.1357441E+01,9.24805E-01
-1.1357258E+01,9.15039E-01
-1.1357074E+01,9.30664E-01
-1.1356891E+01,9.28711E-01
-1.1356707E+01,9.20898E-01
-1.1356523E+01,9.26758E-01
-1.1356340E+01,9.22852E-01
-1.1356156E+01,9.20898E-01
-1.1355973E+01,9.30664E-01
-1.1355789E+01,9.18945E-01
-1.1355605E+01,9.22852E-01
-1.1355422E+01,9.32617E-01
-1.1355238E+01,9.22852E-01
-1.1355055E+01,9.26758E-01
-1.1354871E+01,9.15039E-01
-1.1354687E+01,9.22852E-01
-1.1354504E+01,9.20898E-01
-1.1354320E+01,9.20898E-01
-1.1354137E+01,9.34570E-01
-1.1353953E+01,9.28711E-01
